theme_code,Recipe Name,Recipe Link,Recipe Image Link,category
101012001,사찰요리 - 유자청 소스를 곁들인 우엉찹쌀구이,https://www.10000recipe.com//recipe/3688801,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/09/a5e2e41291d18304f474e7ae492295211_m.jpg,저칼로리 다이어트
101012001,오븐에 구운 달걀아보카도 구이,https://www.10000recipe.com//recipe/6177944,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/14/c4378af1843ec43916af7b514b8115401_m.jpg,저칼로리 다이어트
101012001,아스파라거스 냉국,https://www.10000recipe.com//recipe/3879042,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/01/185c51ecbbfa644ba87da121899878381_m.jpg,저칼로리 다이어트
101012001,관자스테이크,https://www.10000recipe.com//recipe/6645024,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/20/e096c3312dc9210c7af388a1ab0b33c91_m.jpg,저칼로리 다이어트
101012001,홈메이드 토마토쨈,https://www.10000recipe.com//recipe/6687237,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/14/76b344a5ba8560fcf41ecf21be737baa1_m.jpg,저칼로리 다이어트
101012001,"참치타르타르, 채소비네그레트",https://www.10000recipe.com//recipe/6798250,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/03/5cb4dc9c892457846e1c44d81985c2671_m.jpg,저칼로리 다이어트
101012001,간단하고 건강에 좋은 술안주 - 모시조개찜,https://www.10000recipe.com//recipe/2771110,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/02/86ed271a726e0b9d68815f9cdfeef2691_m.jpg,저칼로리 다이어트
101012001,양파 발사믹소스 두부샐러드,https://www.10000recipe.com//recipe/6088776,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/03/6d625c98b59990c3965b32af7133c4d61_m.jpg,저칼로리 다이어트
101012001,그린홍합 라따뚜이 샐러드,https://www.10000recipe.com//recipe/6770203,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/01/0b68dd427f4a7da54d3a4a7745fd92161_m.jpg,저칼로리 다이어트
101012001,홍합스튜,https://www.10000recipe.com//recipe/6522759,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/01/d36b9985fa789d610218efb403a75f571_m.jpg,저칼로리 다이어트
101012001,건강에 좋은 그릭요거트,https://www.10000recipe.com//recipe/6807048,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/01/924c9a9db9a919bab1a87c1e138518851_m.jpg,저칼로리 다이어트
101012001,방울토마토 마리네이드,https://www.10000recipe.com//recipe/6806840,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/01/5eddcc6b36fea8cc64e08c6f5d0119521_m.jpg,저칼로리 다이어트
101012001,아보카도&토마토샐러드,https://www.10000recipe.com//recipe/6800364,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/29/450e1822c76aec9cf011e02cf9542eca1_m.jpg,저칼로리 다이어트
101012001,남은우유로 리코타치즈만들기,https://www.10000recipe.com//recipe/4793882,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/23/6243a957e8394a5bf9dd28579e2597191_m.jpg,저칼로리 다이어트
101012001,훈제연어요리 - 샤워크림 만들기,https://www.10000recipe.com//recipe/6762375,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/12/293849ae32bd53bb666ea10f02f877ce1_m.jpg,저칼로리 다이어트
101012001,죽순 채소 볶음탕,https://www.10000recipe.com//recipe/2859838,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/10/6047da04cdcaf868e175226ad71d372b1_m.jpg,저칼로리 다이어트
101012001,곤약 들깨볶음 만드는 법,https://www.10000recipe.com//recipe/6539318,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/06/50090eb6be1889667fe976a25ad0aed31_m.jpg,저칼로리 다이어트
101012001,양배추쌈밥*쌈밥*양배추*양배추효능*별미밥*한끼식사,https://www.10000recipe.com//recipe/5870143,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/09/05fe9ed338cfb4ebb83095232c6d99f71_m.jpg,저칼로리 다이어트
101012002,자두와 닭가슴살 샐러드,https://www.10000recipe.com//recipe/6089481,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/04/a66b5fd148d2f8f608bc79f940703c6b1_m.jpg,머슬업 다이어트
101012002,퓨전 고등어 찹스테이크,https://www.10000recipe.com//recipe/6831420,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/08/6bdaaea25deb361fb1ca16e9641a7e2a1_m.jpg,머슬업 다이어트
101012002,조기조림 만들기,https://www.10000recipe.com//recipe/6174460,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/31/41de90d4442f8f0f526fe44d33b5c8bf1_m.jpg,머슬업 다이어트
101012002,북어순두부국,https://www.10000recipe.com//recipe/3615302,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/0a29a7c78e571da167bbc186de2b159c_m.jpg,머슬업 다이어트
101012002,"고등어구이, 갈치구이 맛있게 굽는 법",https://www.10000recipe.com//recipe/6831462,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/09/7701e571266c7963643b4a89e50d19881_m.jpg,머슬업 다이어트
101012002,담백한 두부장국과 단호박밥,https://www.10000recipe.com//recipe/6832722,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/25/0602452eb33d0b1f929ac9bf8b8a444c1_m.jpg,머슬업 다이어트
101012002,쇠고기완두콩주먹밥 만들기,https://www.10000recipe.com//recipe/3790500,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/17/cb896c15368846b720d69e2f2fabdecb_m.jpg,머슬업 다이어트
101012002,매콤한 대구콩나물찜,https://www.10000recipe.com//recipe/1671877,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/25/7ada3cb0f308bd19baa34dd2dd320ff7_m.jpg,머슬업 다이어트
101012002,김마끼 만들기,https://www.10000recipe.com//recipe/4492652,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/52108feb2a8184f732009e71f7428a35_m.jpg,머슬업 다이어트
101012002,집밥 백선생 꽁치조림,https://www.10000recipe.com//recipe/6830447,https://recipe1.ezmember.co.kr/cache/recipe/2015/07/21/c59c7988585b7f3faed993abc63688991_m.jpg,머슬업 다이어트
101012002,전자렌지 우유계란찜,https://www.10000recipe.com//recipe/6495876,https://recipe1.ezmember.co.kr/cache/recipe/2015/03/26/2f498d66d4dcd609d886ba5acf5dd00f1_m.jpg,머슬업 다이어트
101012002,황잣으로 끓인 ~ 잣죽 - 딸에게# /죽끓이는 물의 황금비율,https://www.10000recipe.com//recipe/2500835,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/71fd60b938c1f945b76326556ced079e_m.jpg,머슬업 다이어트
101012002,집에서 만드는 리코타치즈! 홈메이드 리코타치즈샐러드 레시피,https://www.10000recipe.com//recipe/6829174,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/19/809da6cd943e291e0762cb5047848aea1_m.jpg,머슬업 다이어트
101012002,참치깻잎밥전&참치깻잎치즈밥전,https://www.10000recipe.com//recipe/4155883,https://recipe1.ezmember.co.kr/cache/recipe/2015/07/02/48ed66513212528ed47b7c3352b100cc_m.jpg,머슬업 다이어트
101012002,계란 노른자 터트려 비벼 먹는 또띠아피자,https://www.10000recipe.com//recipe/1437001,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/10/eeae90daa839fa65f9594dd3d5f7e386_m.jpg,머슬업 다이어트
101012002,호두를 넣은 강된장과 양배추쌈,https://www.10000recipe.com//recipe/4146611,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/12/e73d6aaa66b024024a6b919699d9aaa81_m.jpg,머슬업 다이어트
101012002,두부강정 호두조림,https://www.10000recipe.com//recipe/5644308,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/02/8731f2cac1f8b140eabeed9daa456e7d1_m.JPG,머슬업 다이어트
101012002,검은콩 곤약조림,https://www.10000recipe.com//recipe/2022536,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/12/b38d475f3e6989e5c4407b3c11d947c1_m.jpg,머슬업 다이어트
101012002,검은콩으로 만든 콩비지찌개,https://www.10000recipe.com//recipe/2374555,https://recipe1.ezmember.co.kr/cache/recipe/2015/07/25/f62ca146abfc02ee8b30c17155cd9c78_m.jpg,머슬업 다이어트
101012002,훈제돼지등심 샐러드,https://www.10000recipe.com//recipe/6792805,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/26/fc7efea06d8ef1a316c7d7150b46c1671_m.jpg,머슬업 다이어트
